year,area,goose_category
2008,22.1524513855859,outside colony
2010,12.1587965970239,outside colony
2010,14.8403325482703,outside with overlap
2011,17.338798057505,outside colony
2015,5.35697377971496,inside colony
2014,10.1766020267768,inside colony
2014,16.4451077359384,outside with overlap
2014,9.35062377751008,outside colony
2011,24.4842491742953,outside with overlap
2009,88.3466488635024,outside with overlap
2010,54.3176387649816,outside with overlap
2010,12.8663037039376,inside colony
2009,33.0508037714107,inside colony
2010,27.7907504200341,inside colony
2011,14.5433281071696,inside colony
2010,35.8180813266829,inside colony
2011,16.7469347451462,inside colony
2014,22.5074184438713,outside colony
2013,12.7301180806426,inside colony
2014,17.3867029058951,inside colony
2011,10.0496675715947,inside colony
2014,29.1360109937483,outside colony
2015,31.0622068529526,outside colony
2013,16.5537301523921,outside with overlap
2014,10.1926712299524,outside with overlap
2016,10.6496387521362,inside colony
2009,57.60135885851,outside with overlap
2010,19.0310333688098,inside colony
2012,34.0190517156377,outside colony
2008,32.5102230583407,outside colony
2009,22.1555709419899,inside colony
2011,26.0480473204761,outside colony
2012,22.2474749056604,outside colony
2010,16.2322266979068,inside colony
2011,13.4142564572869,outside with overlap
2012,10.2112932123355,inside colony
2013,7.93907139602077,inside colony
2009,26.5708263230616,inside colony
2011,11.7484374761192,inside colony
2011,15.054492728393,inside colony
2011,19.5227831685863,inside colony
2012,11.4803245466407,inside colony
2013,10.5457138147873,inside colony
2014,17.7673577664894,inside colony
2011,27.4007492604787,outside colony
2012,16.9099670642453,outside with overlap
2016,14.0660785498623,inside colony
2013,35.0194075487536,outside colony
2011,13.3624172275529,outside with overlap
2008,18.8778404058403,inside colony
2011,23.8974664573753,inside colony
2012,9.50737633304196,inside colony
2010,25.0089963183161,outside colony
2013,10.034826312881,inside colony
2015,9.61455558131374,inside colony
2012,20.4942173086776,outside colony
2011,19.1000249839231,inside colony
2009,33.4379586121964,outside with overlap
2011,31.1243304623486,outside colony
2016,42.7490725287772,outside with overlap
2013,9.54046202603833,inside colony
2014,16.0960573940648,inside colony
2015,14.3010547010196,outside colony
2012,11.4995700837195,inside colony
2015,21.279513401166,outside colony
2012,23.3896258723382,outside colony
2013,14.5607062658418,outside with overlap
2015,23.3475433244292,outside colony
2014,10.2938578896715,inside colony
2015,14.4735910659417,inside colony
2008,40.5256642219058,outside colony
2008,11.7236478318789,outside with overlap
2008,20.3054304939642,inside colony
2009,51.2257501285057,outside with overlap
2008,24.0390542944393,outside colony
2011,20.6547648401506,outside colony
2013,34.8407600835551,outside colony
2011,19.25993379648,outside colony
2013,26.7061719744786,outside colony
2016,29.4052987649829,outside colony
2014,16.6463036442701,inside colony
2008,28.1862021475435,outside with overlap
2010,30.9530593752719,outside colony
2015,9.94461298863043,outside with overlap
2012,12.7099146217146,inside colony
2011,7.19293676132116,inside colony
2012,34.9886797970432,outside with overlap
2013,11.0448732403275,inside colony
2011,35.7715159902091,outside colony
2012,12.1943099020879,inside colony
2011,11.2522919510564,outside colony
2008,24.8668960459556,inside colony
2012,13.6764138097219,inside colony
2010,25.0089963183161,outside colony
2011,33.4493619264036,outside colony
2008,15.3339159044947,outside with overlap
2011,13.1511404005136,inside colony
2014,13.1124244033019,inside colony
2012,40.9367726644628,outside colony
2014,5.71341165921454,inside colony
2015,29.0430805289036,outside colony
2014,42.7843346978017,outside with overlap
2015,26.6886316909976,outside with overlap
2013,28.3026377044506,outside with overlap
2016,26.562355831029,inside colony
2016,49.9276320017309,outside colony
2013,33.7037646052139,outside colony
2016,11.040458706294,outside colony
2015,22.0039262553096,outside with overlap
2012,13.7785034046267,outside colony
2008,47.4288720039091,outside colony
2011,12.9707251515145,inside colony
2016,31.4125700049887,outside with overlap
2011,21.1206771435674,outside colony
2012,15.7420002230176,outside colony
2015,17.0439306070355,outside colony
2013,69.1786254494075,outside colony
2012,27.9507895171806,outside with overlap
2010,52.0296127322711,outside colony
2016,15.6693809624685,outside colony
2010,19.158634855474,outside colony
2011,19.7517547457644,outside colony
2010,19.1386140657947,outside colony
2009,11.086615319948,inside colony
2010,16.476829459677,inside colony
2015,21.0506117062628,outside colony
2010,18.7433980699419,inside colony
2016,33.0918914140805,outside with overlap
2010,24.1276236207714,outside with overlap
2014,6.49739010659169,inside colony
2016,24.1651933895734,outside colony
2016,24.8151635333394,outside colony
2015,31.1343085219357,outside colony
2016,14.772667483173,inside colony
2013,20.04291042615,outside colony
2014,26.3187532706066,outside colony
2016,12.1770659073032,outside colony
2015,19.0486621645419,outside with overlap
2008,39.1511201726035,outside with overlap
2011,27.647582019275,outside with overlap
2012,17.6151634696884,outside with overlap
2010,32.9916955639122,inside colony
2015,12.3422119058609,inside colony
2015,19.4988222279751,outside colony
2016,17.74783116454,outside colony
