"HR","PR","NS","pred_density"
3.75,0.94878383345467,0.0512161665453305,0.650406504065041
8.25,0.642569774901724,0.357430225098276,0.295639320029564
12.75,0.47866021001482,0.52133978998518,0.191296030607365
17.25,0.380056657292004,0.619943342707996,0.141392718275009
21.75,0.314763789859151,0.685236210140849,0.112139052425007
26.25,0.268478071234119,0.731521928765881,0.0929152148664344
30.75,0.233999491450387,0.766000508549613,0.0793178663493952
35.25,0.207339025600475,0.792660974399525,0.069192181283515
39.75,0.186116261731021,0.813883738268979,0.0613591041570793
44.25,0.168825477999146,0.831174522000854,0.0551191952597492
