"HR","PR","NS"
6.5,0.837098408661917,0.162901591338083
7,0.808330876260798,0.191669123739202
7.5,0.781206854892781,0.218793145107219
8,0.755622887940912,0.244377112059088
8.5,0.731478813336771,0.268521186663229
9,0.708678601949736,0.291321398050264
9.5,0.687131044299692,0.312868955700308
10,0.666750189960607,0.333249810039393
10.5,0.647455553292622,0.352544446707378
11,0.629172131856733,0.370827868143267
11.5,0.611830287350536,0.388169712649464
12,0.595365533937331,0.404634466062669
12.5,0.57971826891985,0.42028173108015
13,0.564833471356679,0.435166528643321
13.5,0.550660385896733,0.449339614103267
14,0.53715221414399,0.46284778585601
14.5,0.524265804462648,0.475734195537352
15,0.511961351432064,0.488038648567936
15.5,0.500202143680621,0.499797856319379
16,0.488954279350559,0.511045720649441
16.5,0.478186443645931,0.521813556354069
17,0.467869691266857,0.532130308733143
17.5,0.457977241400757,0.542022758599243
18,0.448484290547833,0.551515709452167
18.5,0.439367850678084,0.560632149321916
19,0.430606594501165,0.569393405498835
19.5,0.422180716261194,0.577819283738806
20,0.414071803626635,0.585928196373365
20.5,0.406262730224013,0.593737269775987
21,0.398737539271506,0.601262460728494
21.5,0.391481356480056,0.608518643519944
22,0.384480301414874,0.615519698585125
22.5,0.377721408690932,0.622278591309068
23,0.371192556197638,0.628807443802362
23.5,0.364882399719345,0.635117600280655
24,0.358780313211085,0.641219686788915
24.5,0.352876334306849,0.647123665693151
25,0.347161112711053,0.652838887288947
25.5,0.34162587277786,0.65837412722214
26,0.336262359473501,0.663737640526499
26.5,0.331062808645932,0.668937191354068
27,0.326019908042069,0.673980091957931
27.5,0.32112677118946,0.67887322881054
28,0.31637690180777,0.68362309819223
28.5,0.311764170887003,0.688235829112997
29,0.307282781988355,0.692717218011645
29.5,0.302927269731091,0.697072730268909
30,0.298692453212712,0.701307546787288
30.5,0.294573432354315,0.705426567645685
31,0.290565565859043,0.709434434140957
31.5,0.286664454570865,0.713335545429135
32,0.282865926081522,0.717134073918478
32.5,0.279166020479827,0.720833979520173
33,0.275560977147484,0.724439022852516
33.5,0.272047222514185,0.727952777485815
34,0.26862135869312,0.73137864130688
34.5,0.265280152924872,0.734719847075128
35,0.262020527764527,0.737979472235473
35.5,0.258839551952493,0.741160448047507
36,0.255734431914696,0.744265568085304
36.5,0.252702503842868,0.747297496157132
37,0.249741226309839,0.750258773690161
37.5,0.246848173378522,0.753151826621478
38,0.244021028167022,0.755978971832978
38.5,0.241257576835459,0.758742423164541
39,0.238555702962719,0.761444297037281
39.5,0.235913382284571,0.764086617715429
40,0.233328677766366,0.766671322233634
40.5,0.230799734985949,0.769200265014051
41,0.228324777804817,0.771675222195183
41.5,0.225902104306291,0.774097895693709
42,0.223530082982554,0.776469917017446
42.5,0.221207149152456,0.778792850847544
43,0.218931801594561,0.781068198405439
43.5,0.216702599380382,0.783297400619618
44,0.21451815889397,0.78548184110603
44.5,0.212377151025893,0.787622848974107
45,0.210278298529122,0.789721701470878
45.5,0.208220373526636,0.791779626473364
46,0.206202195160673,0.793797804839327
46.5,0.204222627374127,0.795777372625873
47,0.202280576815837,0.797719423184163
47.5,0.200374990861641,0.799625009138359
48,0.19850485574413,0.80149514425587
48.5,0.196669194783575,0.803330805216425
